"Gene","Model","lnL","LRT","np","df","p.value","Gene_Category"
"OTOF","Amodel-H3",-10471.47551,131.719352,63,1,1.72339423568333e-30,"hearing"
"MYO7A","Amodel-H3",-7268.598622,30.0861619999996,63,1,4.132696871423e-08,"hearing"
"PCDH15","Amodel-H3",-8618.865686,29.8802820000019,63,1,4.59562791732456e-08,"hearing"
"CALML6","Amodel-H3",-1775.378679,8.72804600000018,39,1,0.00313352133130308,"processing"
"CASQ1","Amodel-H3",-2428.933223,20.8938019999996,63,1,4.85462849879263e-06,"sound_making"
"CASQ1","Bmodel-H1a",-2407.697739,54.8606259999997,64,2,1.22226795920375e-12,"sound_making"
"OTOF","Bmodel-H1a",-10526.288715,9.2373179999995,64,2,0.00986601752371705,"hearing"
"CALML6","Bmodel-H1a",-1772.699795,14.067016,40,2,0.000881832878561607,"processing"
"CALML6","Bmodel-H1b",-1773.274878,12.9168500000001,40,2,0.001567262205493,"processing"
"MYL1","Bmodel-H1b",-1618.19986,7.4143140000001,62,2,0.0245472118857386,"sound_making"
"CASQ1","Bmodel-H1b",-2429.628719,10.9986660000004,64,2,0.00408949822429466,"sound_making"
"OTOF","Bmodel-H1b",-10513.224055,35.3666199999971,64,2,2.09043200161325e-08,"hearing"
"RYR2","Bmodel-H1b",-27172.160934,19.2922919999983,64,2,6.46743422516775e-05,"sound_making"
"CASQ2","Bmodel-H1b",-2366.797759,9.17673800000011,64,2,0.0101694311968398,"sound_making"
"MYO7A","Bmodel-H1c",-7279.90096,6.86462399999982,64,2,0.0323121486588426,"hearing"
"OTOF","Bmodel-H1c",-10526.558331,8.69805799999813,64,2,0.0129193511820135,"hearing"
"MYH2","Bmodel-H1c",-5024.573702,7.47073600000112,58,2,0.0238643873580822,"sound_making"
"PCDH15","Bmodel-H2",-8610.976433,15.821780000002,64,2,0.000366728047346845,"hearing"
"ACTC1","Bmodel-H2",-1899.750183,24.7799339999997,42,2,4.16011849384321e-06,"sound_making"
"CALML6","Bmodel-H2",-1775.426621,8.61336399999982,40,2,0.0134781961394588,"processing"
"OTOF","Bmodel-H2",-10524.919322,11.9760219999989,64,2,0.00250864879368334,"hearing"
"CASQ1","Bmodel-H2",-2430.245452,9.76519999999982,64,2,0.00757728744677422,"sound_making"
"NRXN1","Bmodel-H2",-8042.009411,25.6908980000007,38,2,2.63810685084215e-06,"learning"
"RYR2","Bmodel-H2",-27174.129727,15.3549140000032,64,2,0.000463151195976487,"sound_making"
"MYL1","Bmodel-H3",-1617.309765,9.19450400000005,62,2,0.0100794961772876,"sound_making"
"CASQ2","Bmodel-H3",-2367.649298,7.47366000000056,64,2,0.0238295231157426,"sound_making"
"PCDH15","Bmodel-H3",-8606.82943,24.1157800000001,64,2,5.79862347776061e-06,"hearing"
"MYO7A","Bmodel-H3",-7268.407186,29.8521739999996,64,2,3.29369044180133e-07,"hearing"
"CALML6","Bmodel-H3",-1775.37464,8.71732599999996,40,2,0.01279548378004,"processing"
"OTOF","Bmodel-H3",-10471.428431,118.957886,64,2,1.47442696771801e-26,"hearing"
"CASQ1","Bmodel-H3",-2426.016474,18.223156,64,2,0.000110380397363517,"sound_making"
"RYR2","Bmodel-H3",-27174.698925,14.2158980000022,64,2,0.000818572163083843,"sound_making"
