PG-BSM Model Fit Output - 05-Aug-2022

Branch Length Estimates

Daughter    Nul    BW    CW    rCW    nulRaMoSS    altRaMoSS    Parent
1	0.35	0.32	0.3	0.35	0.27	0.28	9
2	0.23	0.24	0.23	0.23	0.19	0.19	9
3	0.73	0.47	0.42	0.73	0.58	0.6	10
4	0.34	0.39	0.38	0.34	0.27	0.27	10
5	0.22	0.22	0.15	0.22	0.18	0.17	12
6	0.35	0.37	0.28	0.35	0.34	0.34	12
7	0.18	0.2	0.2	0.18	0.14	0.16	13
8	0.68	0.67	0.64	0.68	0.56	0.56	13
9	0.44	0.47	0.45	0.44	0.35	0.35	11
10	0.6	0.56	0.54	0.6	0.46	0.5	11
11	0.59	0.59	0.59	0.59	0.47	0.51	15
12	1.36	0.89	0.81	1.36	1.07	1.17	14
13	0.25	0.35	0.35	0.25	0.2	0.15	14
14	0.59	0.59	0.59	0.59	0.47	0.51	15

Log Likelihoods

Nul: -4200
BW: -4187
CW: -4186
rCW: -4200
nulRaMoSS: -4204
altRaMoSS: -4198

Nul PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda
0.57	0.19	4.86	0.91	0.12	2.92	0.56	

BW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piBW
0.55	0.14	2.68	0.86	0.15	2.98	0.51	0.07	

CW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     piCW
0.54	0.11	1.51	0.82	0.13	2.86	0.51	0.11	

rCW PG-BSM MLEs

pi0     w1     w2     p1     delta     kappa     lambda     pirCW
0.57	0.19	4.83	0.91	0.12	2.92	0.52	0	

nulRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0	0.01	0.26	0.22	0	0	0	0	2.71	

altRaMoSS MLEs

piCL    w1M3    w2M3    p1M3    w1CL    w2CL    p1CL    delta    kappa
0.2	0	0.19	0.73	1.01	0.01	0.53	0.67	2.75	

BW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(BW)
228	0.000		0.994		0.006		
117	0.872		0.122		0.005		
243	0.000		0.995		0.005		
156	0.000		0.995		0.005		
227	0.000		0.995		0.005		
229	0.000		0.996		0.004		
174	0.867		0.129		0.004		
285	0.000		0.996		0.004		
25	0.858		0.139		0.004		
289	0.88		0.117		0.004		
206	0.000		0.996		0.004		
53	0.857		0.139		0.004		
110	0.874		0.123		0.003		
136	0.866		0.131		0.003		
162	0.869		0.127		0.003		
73	0.872		0.125		0.003		
26	0.000		0.997		0.003		
116	0.879		0.118		0.003		
217	0.000		0.997		0.003		
58	0.869		0.128		0.003		
103	0.000		0.997		0.003		
184	0.87		0.127		0.003		
18	0.000		0.997		0.003		
266	0.867		0.131		0.003		
272	0.874		0.123		0.003		
163	0.866		0.131		0.003		
122	0.872		0.126		0.003		
79	0.000		0.997		0.003		
165	0.882		0.115		0.003		
274	0.878		0.119		0.003		
271	0.875		0.122		0.002		
202	0.875		0.122		0.002		
59	0.877		0.12		0.002		
188	0.000		0.998		0.002		
134	0.875		0.123		0.002		
203	0.879		0.118		0.002		
104	0.876		0.122		0.002		
135	0.881		0.117		0.002		
297	0.882		0.116		0.002		
159	0.879		0.119		0.002		
209	0.000		0.998		0.002		
198	0.9		0.098		0.002		
140	0.9		0.098		0.002		
21	0.9		0.098		0.002		
128	0.9		0.098		0.002		
50	0.9		0.098		0.002		
131	0.9		0.098		0.002		
66	0.9		0.098		0.002		
171	0.9		0.098		0.002		
263	0.9		0.098		0.002		
257	0.882		0.117		0.002		
56	0.9		0.098		0.002		
89	0.9		0.098		0.002		
152	0.9		0.098		0.002		
187	0.9		0.098		0.002		
46	0.9		0.098		0.002		
70	0.887		0.111		0.002		
87	0.9		0.098		0.002		
216	0.9		0.098		0.002		
57	0.9		0.098		0.002		
150	0.9		0.098		0.002		
213	0.9		0.098		0.002		
169	0.886		0.113		0.002		
88	0.9		0.098		0.002		
214	0.901		0.098		0.002		
96	0.901		0.098		0.002		
273	0.901		0.098		0.002		
115	0.9		0.098		0.002		
248	0.88		0.118		0.002		
212	0.901		0.098		0.002		
137	0.901		0.098		0.002		
256	0.901		0.098		0.002		
143	0.000		0.998		0.002		
129	0.884		0.115		0.002		
83	0.000		0.998		0.002		
286	0.000		0.999		0.001		
242	0.906		0.093		0.001		
172	0.896		0.102		0.001		
146	0.906		0.092		0.001		
177	0.906		0.093		0.001		
114	0.906		0.092		0.001		
283	0.906		0.092		0.001		
107	0.906		0.092		0.001		
130	0.906		0.092		0.001		
147	0.906		0.092		0.001		
160	0.906		0.092		0.001		
215	0.906		0.092		0.001		
221	0.906		0.092		0.001		
222	0.906		0.092		0.001		
270	0.859		0.14		0.001		
35	0.916		0.083		0.001		
91	0.918		0.081		0.001		
191	0.918		0.081		0.001		
234	0.918		0.081		0.001		
292	0.916		0.083		0.001		
112	0.918		0.081		0.001		
145	0.915		0.084		0.001		
173	0.915		0.084		0.001		
153	0.916		0.084		0.001		
80	0.914		0.085		0.001		
132	0.915		0.084		0.001		
157	0.917		0.082		0.001		
278	0.919		0.081		0.001		
142	0.89		0.11		0.001		
277	0.919		0.08		0.001		
34	0.917		0.082		0.001		
77	0.917		0.082		0.001		
261	0.917		0.082		0.001		
296	0.919		0.08		0.001		
161	0.919		0.08		0.001		
94	0.919		0.081		0.001		
249	0.000		0.999		0.001		
205	0.92		0.08		0.001		
60	0.89		0.109		0.001		
244	0.92		0.08		0.001		
68	0.89		0.109		0.001		
186	0.89		0.109		0.001		
245	0.89		0.109		0.001		
120	0.89		0.109		0.001		
251	0.89		0.109		0.001		
90	0.89		0.109		0.001		
265	0.89		0.109		0.001		
264	0.89		0.109		0.001		
42	0.89		0.109		0.001		
82	0.89		0.109		0.001		
195	0.89		0.109		0.001		
144	0.89		0.11		0.001		
67	0.89		0.109		0.001		
260	0.89		0.109		0.001		
284	0.89		0.109		0.001		
210	0.918		0.081		0.001		
158	0.922		0.078		0.001		
231	0.922		0.078		0.001		
97	0.918		0.081		0.001		
295	0.918		0.081		0.001		
279	0.918		0.081		0.001		
93	0.922		0.078		0.001		
151	0.922		0.078		0.001		
149	0.000		0.999		0.001		
189	0.922		0.078		0.001		
78	0.922		0.078		0.001		
178	0.922		0.078		0.001		
92	0.922		0.078		0.001		
225	0.922		0.078		0.001		
211	0.922		0.078		0.001		
164	0.909		0.091		0.001		
226	0.909		0.091		0.001		
288	0.908		0.091		0.001		
139	0.897		0.102		0.001		
294	0.909		0.091		0.001		
185	0.897		0.103		0		
74	0.901		0.098		0		
176	0.93		0.07		0		
259	0.899		0.101		0		
118	0.899		0.1		0		
81	0.929		0.07		0		
241	0.929		0.071		0		
55	0.929		0.071		0		
75	0.928		0.071		0		
196	0.933		0.067		0		
52	0.000		1		0		
36	0.929		0.071		0		
108	0.928		0.071		0		
109	0.904		0.095		0		
282	0.904		0.095		0		
280	0.904		0.095		0		
201	0.909		0.09		0		
181	0.931		0.068		0		
224	0.932		0.068		0		
290	0.931		0.068		0		
197	0.934		0.065		0		
45	0.904		0.096		0		
47	0.904		0.096		0		
125	0.904		0.096		0		
133	0.904		0.096		0		
267	0.904		0.096		0		
123	0.933		0.066		0		
239	0.933		0.066		0		
99	0.933		0.066		0		
219	0.933		0.066		0		
101	0.934		0.066		0		
84	0.934		0.066		0		
63	0.000		1		0		
86	0.915		0.085		0		
41	0.925		0.075		0		
218	0.925		0.075		0		
276	0.925		0.075		0		
105	0.95		0.05		0		
179	0.95		0.05		0		
111	0.95		0.05		0		
246	0.95		0.05		0		
39	0.95		0.05		0		
268	0.95		0.05		0		
148	0.95		0.05		0		
208	0.95		0.05		0		
170	0.95		0.05		0		
240	0.95		0.05		0		
141	0.943		0.057		0		
138	0.943		0.057		0		
98	0.943		0.057		0		
237	0.943		0.057		0		
291	0.000		1		0		
65	0.000		1		0		


CW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(CW)
15	0.000		0.008		0.992		
27	0.000		0.026		0.974		
1	0.000		0.033		0.967		
20	0.000		0.043		0.957		
17	0.000		0.048		0.952		
4	0.000		0.049		0.951		
10	0.000		0.05		0.95		
299	0.000		0.056		0.944		
12	0.000		0.058		0.942		
22	0.000		0.071		0.929		
19	0.000		0.088		0.912		
28	0.000		0.111		0.889		
233	0.000		0.167		0.833		
30	0.000		0.169		0.831		
7	0.000		0.179		0.821		
3	0.000		0.214		0.786		
8	0.000		0.215		0.785		
95	0.000		0.241		0.759		
29	0.000		0.245		0.755		
14	0.000		0.292		0.708		
11	0.000		0.294		0.706		
49	0.000		0.375		0.625		
207	0.000		0.378		0.622		
2	0.000		0.396		0.604		
26	0.000		0.436		0.564		
250	0.000		0.451		0.549		
16	0.000		0.457		0.543		
113	0.000		0.574		0.426		
192	0.000		0.606		0.394		
206	0.000		0.611		0.389		
126	0.000		0.63		0.37		
167	0.000		0.698		0.302		
100	0.000		0.698		0.302		
79	0.000		0.733		0.267		
247	0.000		0.738		0.262		
220	0.000		0.741		0.259		
262	0.000		0.752		0.248		
121	0.000		0.754		0.246		
83	0.000		0.767		0.233		
281	0.000		0.771		0.229		
190	0.000		0.783		0.217		
9	0.000		0.789		0.211		
269	0.000		0.797		0.203		
51	0.000		0.802		0.198		
199	0.000		0.803		0.197		
44	0.000		0.811		0.189		
6	0.000		0.813		0.187		
183	0.000		0.814		0.186		
54	0.000		0.814		0.186		
5	0.000		0.827		0.173		
254	0.000		0.829		0.171		
61	0.000		0.832		0.168		
24	0.000		0.832		0.168		
154	0.000		0.838		0.162		
275	0.000		0.841		0.159		
287	0.000		0.85		0.15		
228	0.000		0.85		0.15		
23	0.000		0.854		0.146		
64	0.000		0.864		0.136		
37	0.000		0.891		0.109		
48	0.000		0.891		0.109		
13	0.000		0.895		0.105		
71	0.000		0.897		0.103		
285	0.000		0.9		0.1		
175	0.000		0.905		0.095		
223	0.000		0.909		0.091		
253	0.000		0.91		0.09		
168	0.000		0.913		0.087		
102	0.000		0.921		0.079		
85	0.000		0.927		0.073		
166	0.000		0.931		0.069		
193	0.000		0.938		0.062		
52	0.000		0.941		0.059		
230	0.000		0.943		0.057		
236	0.000		0.949		0.051		
255	0.000		0.952		0.048		
69	0.000		0.969		0.031		
38	0.000		0.971		0.029		
200	0.000		0.973		0.027		
204	0.000		0.975		0.025		
180	0.000		0.975		0.025		
194	0.000		0.975		0.025		
119	0.000		0.976		0.024		
72	0.000		0.976		0.024		
155	0.000		0.976		0.024		
143	0.000		0.977		0.023		
300	0.000		0.978		0.022		
127	0.000		0.98		0.02		
252	0.000		0.982		0.018		
32	0.000		0.983		0.017		
182	0.000		0.983		0.017		
232	0.000		0.984		0.016		
124	0.000		0.984		0.016		
76	0.000		0.984		0.016		
106	0.000		0.985		0.015		
238	0.000		0.985		0.015		
122	0.848		0.138		0.015		
58	0.846		0.14		0.014		
235	0.000		0.987		0.013		
40	0.000		0.987		0.013		
258	0.000		0.989		0.011		
62	0.000		0.99		0.01		
227	0.000		0.99		0.01		
43	0.000		0.991		0.009		
31	0.866		0.125		0.009		
18	0.000		0.991		0.009		
103	0.000		0.992		0.008		
293	0.000		0.992		0.008		
33	0.867		0.126		0.008		
229	0.000		0.992		0.008		
25	0.84		0.152		0.007		
243	0.000		0.993		0.007		
53	0.84		0.153		0.007		
298	0.000		0.993		0.007		
136	0.848		0.145		0.007		
217	0.000		0.993		0.007		
162	0.851		0.142		0.007		
117	0.857		0.136		0.007		
73	0.854		0.14		0.006		
163	0.849		0.145		0.006		
174	0.85		0.144		0.006		
156	0.000		0.994		0.006		
286	0.000		0.994		0.006		
289	0.863		0.132		0.005		
274	0.861		0.134		0.005		
188	0.000		0.995		0.005		
203	0.861		0.134		0.005		
110	0.857		0.138		0.005		
116	0.861		0.134		0.005		
272	0.857		0.138		0.005		
184	0.853		0.142		0.004		
202	0.858		0.138		0.004		
135	0.863		0.133		0.004		
270	0.842		0.154		0.004		
104	0.859		0.137		0.004		
266	0.852		0.144		0.004		
271	0.858		0.138		0.004		
134	0.858		0.138		0.004		
59	0.86		0.137		0.004		
165	0.865		0.131		0.004		
297	0.865		0.131		0.004		
159	0.862		0.134		0.004		
248	0.863		0.134		0.003		
129	0.866		0.13		0.003		
257	0.864		0.133		0.003		
70	0.868		0.128		0.003		
169	0.869		0.128		0.003		
128	0.883		0.114		0.003		
140	0.883		0.114		0.003		
198	0.883		0.114		0.003		
87	0.883		0.114		0.003		
21	0.883		0.114		0.003		
216	0.883		0.114		0.003		
57	0.883		0.114		0.003		
50	0.883		0.114		0.003		
131	0.883		0.114		0.003		
115	0.883		0.114		0.003		
46	0.883		0.114		0.003		
66	0.883		0.114		0.003		
171	0.883		0.114		0.003		
263	0.883		0.114		0.003		
56	0.883		0.114		0.003		
89	0.883		0.114		0.003		
152	0.883		0.114		0.003		
187	0.883		0.114		0.003		
150	0.883		0.114		0.003		
214	0.883		0.114		0.003		
96	0.883		0.114		0.003		
273	0.883		0.114		0.003		
213	0.883		0.114		0.003		
88	0.883		0.114		0.003		
212	0.883		0.114		0.003		
172	0.878		0.12		0.003		
137	0.883		0.114		0.003		
256	0.883		0.114		0.003		
209	0.000		0.998		0.002		
142	0.873		0.125		0.002		
242	0.889		0.109		0.002		
149	0.000		0.998		0.002		
60	0.872		0.125		0.002		
68	0.872		0.125		0.002		
245	0.872		0.125		0.002		
186	0.872		0.125		0.002		
120	0.873		0.125		0.002		
90	0.873		0.125		0.002		
265	0.872		0.125		0.002		
251	0.873		0.125		0.002		
264	0.873		0.125		0.002		
42	0.873		0.125		0.002		
82	0.873		0.125		0.002		
195	0.873		0.125		0.002		
144	0.873		0.125		0.002		
67	0.873		0.125		0.002		
260	0.873		0.125		0.002		
284	0.873		0.125		0.002		
146	0.889		0.109		0.002		
177	0.889		0.109		0.002		
114	0.889		0.109		0.002		
283	0.889		0.109		0.002		
107	0.889		0.109		0.002		
130	0.889		0.109		0.002		
147	0.889		0.109		0.002		
160	0.889		0.109		0.002		
215	0.889		0.109		0.002		
221	0.889		0.109		0.002		
222	0.889		0.109		0.002		
259	0.881		0.117		0.002		
118	0.881		0.117		0.002		
139	0.879		0.119		0.002		
292	0.897		0.101		0.002		
35	0.898		0.1		0.002		
80	0.896		0.102		0.002		
173	0.896		0.102		0.002		
132	0.896		0.102		0.002		
145	0.896		0.102		0.002		
65	0.000		0.998		0.002		
153	0.897		0.101		0.002		
185	0.879		0.119		0.002		
191	0.9		0.098		0.002		
234	0.9		0.098		0.002		
91	0.9		0.098		0.002		
34	0.899		0.1		0.002		
77	0.899		0.1		0.002		
261	0.899		0.1		0.002		
157	0.899		0.1		0.001		
112	0.9		0.099		0.001		
296	0.901		0.098		0.001		
278	0.9		0.098		0.001		
277	0.901		0.098		0.001		
94	0.9		0.098		0.001		
161	0.901		0.098		0.001		
249	0.000		0.999		0.001		
86	0.897		0.102		0.001		
205	0.901		0.097		0.001		
244	0.901		0.097		0.001		
164	0.892		0.107		0.001		
226	0.892		0.107		0.001		
288	0.892		0.107		0.001		
210	0.901		0.098		0.001		
294	0.892		0.107		0.001		
97	0.901		0.098		0.001		
295	0.901		0.098		0.001		
279	0.901		0.098		0.001		
109	0.887		0.112		0.001		
282	0.887		0.112		0.001		
280	0.887		0.112		0.001		
158	0.903		0.095		0.001		
231	0.903		0.095		0.001		
189	0.903		0.095		0.001		
151	0.903		0.095		0.001		
93	0.903		0.095		0.001		
92	0.903		0.095		0.001		
78	0.903		0.095		0.001		
178	0.903		0.095		0.001		
225	0.903		0.095		0.001		
211	0.903		0.095		0.001		
45	0.887		0.111		0.001		
47	0.887		0.111		0.001		
125	0.887		0.111		0.001		
133	0.887		0.111		0.001		
267	0.887		0.111		0.001		
74	0.883		0.116		0.001		
201	0.891		0.108		0.001		
291	0.000		0.999		0.001		
75	0.911		0.089		0.001		
108	0.911		0.089		0.001		
241	0.911		0.088		0.001		
36	0.911		0.088		0.001		
55	0.911		0.088		0.001		
176	0.912		0.087		0.001		
81	0.911		0.088		0.001		
290	0.914		0.086		0.001		
224	0.914		0.085		0.001		
181	0.914		0.086		0.001		
196	0.915		0.084		0.001		
123	0.916		0.084		0.001		
239	0.916		0.083		0.001		
99	0.916		0.084		0.001		
219	0.916		0.083		0.001		
197	0.917		0.082		0.001		
101	0.916		0.083		0.001		
84	0.916		0.083		0.001		
41	0.908		0.091		0.001		
218	0.908		0.091		0.001		
276	0.908		0.091		0.001		
63	0.000		1		0		
179	0.934		0.066		0		
105	0.934		0.066		0		
148	0.934		0.066		0		
268	0.934		0.066		0		
111	0.934		0.066		0		
246	0.934		0.066		0		
39	0.934		0.066		0		
208	0.934		0.066		0		
170	0.934		0.066		0		
240	0.934		0.066		0		
138	0.927		0.073		0		
98	0.927		0.073		0		
141	0.927		0.073		0		
237	0.927		0.073		0		


rCW PG-BSM Posteriors

site     P(w=0)        P(w1<->w2)       P(rCW)
124	0.000		1		0		
300	0.000		1		0		
286	0.000		1		0		
291	0.000		1		0		
209	0.000		1		0		
149	0.000		1		0		
37	0.000		1		0		
298	0.000		1		0		
236	0.000		1		0		
61	0.000		1		0		
235	0.000		1		0		
63	0.000		1		0		
232	0.000		1		0		
193	0.000		1		0		
223	0.000		1		0		
43	0.000		1		0		
143	0.000		1		0		
100	0.000		1		0		
28	0.000		1		0		
7	0.000		1		0		
228	0.000		1		0		
175	0.000		1		0		
192	0.000		1		0		
180	0.000		1		0		
79	0.000		1		0		
190	0.000		1		0		
113	0.000		1		0		
2	0.000		1		0		
275	0.000		1		0		
207	0.000		1		0		
183	0.000		1		0		
102	0.000		1		0		
281	0.000		1		0		
293	0.000		1		0		
19	0.000		1		0		
230	0.000		1		0		
83	0.000		1		0		
49	0.000		1		0		
233	0.000		1		0		
54	0.000		1		0		
27	0.000		1		0		
65	0.000		1		0		
229	0.000		1		0		
72	0.000		1		0		
253	0.000		1		0		
32	0.000		1		0		
204	0.000		1		0		
51	0.000		1		0		
168	0.000		1		0		
126	0.000		1		0		
262	0.000		1		0		
249	0.000		1		0		
17	0.000		1		0		
69	0.000		1		0		
52	0.000		1		0		
227	0.000		1		0		
238	0.000		1		0		
299	0.000		1		0		
121	0.000		1		0		
255	0.000		1		0		
127	0.000		1		0		
199	0.000		1		0		
206	0.000		1		0		
200	0.000		1		0		
119	0.000		1		0		
3	0.000		1		0		
48	0.000		1		0		
247	0.000		1		0		
167	0.000		1		0		
166	0.000		1		0		
182	0.000		1		0		
95	0.000		1		0		
6	0.000		1		0		
194	0.000		1		0		
106	0.000		1		0		
30	0.000		1		0		
16	0.000		1		0		
220	0.000		1		0		
250	0.000		1		0		
258	0.000		1		0		
11	0.000		1		0		
155	0.000		1		0		
12	0.000		1		0		
26	0.000		1		0		
62	0.000		1		0		
1	0.000		1		0		
252	0.000		1		0		
4	0.000		1		0		
76	0.000		1		0		
29	0.000		1		0		
10	0.000		1		0		
15	0.000		1		0		
20	0.000		1		0		
266	0.894		0.106		0		
40	0.000		1		0		
64	0.000		1		0		
243	0.000		1		0		
22	0.000		1		0		
103	0.000		1		0		
184	0.898		0.102		0		
156	0.000		1		0		
5	0.000		1		0		
8	0.000		1		0		
271	0.902		0.098		0		
53	0.884		0.116		0		
24	0.000		1		0		
117	0.902		0.098		0		
25	0.885		0.115		0		
159	0.906		0.094		0		
38	0.000		1		0		
73	0.9		0.1		0		
287	0.000		1		0		
136	0.894		0.106		0		
154	0.000		1		0		
274	0.906		0.094		0		
44	0.000		1		0		
13	0.000		1		0		
297	0.909		0.091		0		
59	0.904		0.096		0		
188	0.000		1		0		
163	0.893		0.107		0		
104	0.904		0.096		0		
174	0.895		0.105		0		
272	0.901		0.099		0		
162	0.897		0.103		0		
202	0.902		0.098		0		
257	0.909		0.091		0		
254	0.000		1		0		
285	0.000		1		0		
14	0.000		1		0		
165	0.909		0.091		0		
122	0.898		0.102		0		
71	0.000		1		0		
9	0.000		1		0		
23	0.000		1		0		
58	0.897		0.103		0		
289	0.907		0.093		0		
217	0.000		1		0		
85	0.000		1		0		
18	0.000		1		0		
269	0.000		1		0		
134	0.902		0.098		0		
150	0.928		0.072		0		
116	0.908		0.092		0		
50	0.928		0.072		0		
169	0.912		0.088		0		
110	0.902		0.098		0		
88	0.928		0.072		0		
46	0.928		0.072		0		
87	0.928		0.072		0		
203	0.908		0.092		0		
212	0.928		0.072		0		
213	0.928		0.072		0		
171	0.928		0.072		0		
263	0.928		0.072		0		
216	0.928		0.072		0		
66	0.928		0.072		0		
56	0.928		0.072		0		
89	0.928		0.072		0		
152	0.928		0.072		0		
187	0.928		0.072		0		
214	0.928		0.072		0		
140	0.928		0.072		0		
198	0.928		0.072		0		
33	0.914		0.086		0		
128	0.928		0.072		0		
115	0.928		0.072		0		
21	0.928		0.072		0		
137	0.928		0.072		0		
131	0.928		0.072		0		
57	0.928		0.072		0		
135	0.908		0.092		0		
96	0.928		0.072		0		
273	0.928		0.072		0		
248	0.908		0.092		0		
256	0.928		0.072		0		
70	0.913		0.087		0		
31	0.915		0.085		0		
242	0.934		0.066		0		
129	0.912		0.088		0		
114	0.934		0.066		0		
283	0.934		0.066		0		
278	0.944		0.056		0		
177	0.934		0.066		0		
146	0.934		0.066		0		
35	0.943		0.057		0		
107	0.934		0.066		0		
130	0.934		0.066		0		
147	0.934		0.066		0		
160	0.934		0.066		0		
215	0.934		0.066		0		
221	0.934		0.066		0		
222	0.934		0.066		0		
94	0.945		0.055		0		
153	0.942		0.058		0		
132	0.941		0.059		0		
292	0.942		0.058		0		
34	0.943		0.057		0		
77	0.943		0.057		0		
161	0.945		0.055		0		
172	0.923		0.077		0		
277	0.945		0.055		0		
173	0.941		0.059		0		
112	0.944		0.056		0		
157	0.943		0.057		0		
91	0.945		0.055		0		
261	0.943		0.057		0		
145	0.941		0.059		0		
191	0.945		0.055		0		
234	0.945		0.055		0		
244	0.945		0.055		0		
296	0.945		0.055		0		
205	0.945		0.055		0		
270	0.886		0.114		0		
80	0.941		0.059		0		
151	0.947		0.053		0		
93	0.947		0.053		0		
178	0.947		0.053		0		
78	0.947		0.053		0		
158	0.947		0.053		0		
186	0.918		0.082		0		
68	0.918		0.082		0		
265	0.918		0.082		0		
245	0.918		0.082		0		
90	0.918		0.082		0		
264	0.918		0.082		0		
144	0.918		0.082		0		
60	0.918		0.082		0		
231	0.947		0.053		0		
251	0.918		0.082		0		
120	0.918		0.082		0		
42	0.918		0.082		0		
82	0.918		0.082		0		
195	0.918		0.082		0		
142	0.918		0.082		0		
67	0.918		0.082		0		
260	0.918		0.082		0		
284	0.918		0.082		0		
279	0.945		0.055		0		
92	0.947		0.053		0		
97	0.945		0.055		0		
295	0.945		0.055		0		
210	0.945		0.055		0		
139	0.925		0.075		0		
185	0.925		0.075		0		
259	0.927		0.073		0		
189	0.947		0.053		0		
118	0.927		0.073		0		
74	0.929		0.071		0		
