Entry	Entry Name	Gene Names	Protein names	Organism	Length	Reviewed	Annotation	Function [CC]	GeneID	RefSeq	KEGG	EMBL	Ensembl	EnsemblMetazoa	OrthoDB	PIR	InterPro	CCDS
A0A2Y9Q0T4	A0A2Y9Q0T4_DELLE	CHD7	DNA helicase, EC 3.6.4.12	Delphinapterus leucas (Beluga whale)	3023	unreviewed	5.0			XP_022451041.1;			ENSDLET00000021569;				IPR006576;IPR037259;IPR016197;IPR000953;IPR023780;IPR014001;IPR001650;IPR027417;IPR038718;IPR000330;	
A0A2Y9SCC9	A0A2Y9SCC9_PHYMC	HEXB	Beta-hexosaminidase, EC 3.2.1.52	Physeter macrocephalus (Sperm whale) (Physeter catodon)	541	unreviewed	5.0			XP_023974987.1;			ENSPCTT00005002510;				IPR025705;IPR015883;IPR017853;IPR029018;IPR029019;	
A0A2Y9SHR6	A0A2Y9SHR6_PHYMC	SOD1	Superoxide dismutase [Cu-Zn], EC 1.15.1.1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	153	unreviewed	5.0	FUNCTION: Destroys radicals which are normally produced within the cells and which are toxic to biological systems. {ECO:0000256|RuleBase:RU000393}.		XP_023975865.1;	pcad:102973578;		ENSPCTT00005004056;				IPR036423;IPR024134;IPR018152;IPR001424;	
A0A2Y9T160	A0A2Y9T160_PHYMC	HEXA	Beta-hexosaminidase, EC 3.2.1.52	Physeter macrocephalus (Sperm whale) (Physeter catodon)	529	unreviewed	5.0			XP_023984656.1;	pcad:102981971;		ENSPCTT00005018408;				IPR025705;IPR015883;IPR017853;IPR029018;IPR029019;	
A0A2Y9TB89	A0A2Y9TB89_PHYMC	FZD4	Frizzled-4	Physeter macrocephalus (Sperm whale) (Physeter catodon)	537	unreviewed	5.0			XP_023987523.1;	pcad:102995896;		ENSPCTT00005011180;				IPR015526;IPR000539;IPR020067;IPR036790;IPR041765;IPR026551;IPR017981;	
A0A4U1EMW5	A0A4U1EMW5_MONMO	SPRY2 EI555_015461	Protein sprouty homolog 2	Monodon monoceros (Narwhal) (Ceratodon monodon)	315	unreviewed	5.0					RWIC01001084;	ENSMMNT00015024010.1;				IPR007875;IPR030780;	
A0A4U1FB94	A0A4U1FB94_MONMO	DDIT3 EI555_015243	DNA damage-inducible transcript 3 protein, DDIT-3 (C/EBP zeta) (C/EBP-homologous protein) (C/EBP-homologous protein 10) (CCAAT/enhancer-binding protein homologous protein) (Growth arrest and DNA-damage-inducible protein GADD153)	Monodon monoceros (Narwhal) (Ceratodon monodon)	168	unreviewed	5.0	FUNCTION: Multifunctional transcription factor in ER stress response. Plays an essential role in the response to a wide variety of cell stresses and induces cell cycle arrest and apoptosis in response to ER stress. Plays a dual role both as an inhibitor of CCAAT/enhancer-binding protein (C/EBP) function and as an activator of other genes. Acts as a dominant-negative regulator of C/EBP-induced transcription: dimerizes with members of the C/EBP family, impairs their association with C/EBP binding sites in the promoter regions, and inhibits the expression of C/EBP regulated genes. Positively regulates the transcription of TRIB3, IL6, IL8, IL23, TNFRSF10B/DR5, PPP1R15A/GADD34, BBC3/PUMA, BCL2L11/BIM and ERO1L. Negatively regulates; expression of BCL2 and MYOD1, ATF4-dependent transcriptional activation of asparagine synthetase (ASNS), CEBPA-dependent transcriptional activation of hepcidin (HAMP) and CEBPB-mediated expression of peroxisome proliferator-activated receptor gamma (PPARG). Inhibits the canonical Wnt signaling pathway by binding to TCF7L2/TCF4, impairing its DNA-binding properties and repressing its transcriptional activity. Plays a regulatory role in the inflammatory response through the induction of caspase-11 (CASP4/CASP11) which induces the activation of caspase-1 (CASP1) and both these caspases increase the activation of pro-IL1B to mature IL1B which is involved in the inflammatory response. {ECO:0000256|PIRNR:PIRNR016571}.				RWIC01000239;	ENSMMNT00015024972.1;				IPR004827;IPR016670;	
A0A4U1FSU5	A0A4U1FSU5_MONMO	SLC9A3R1 EI555_014876	Na(+)/H(+) exchange regulatory cofactor NHE-RF	Monodon monoceros (Narwhal) (Ceratodon monodon)	366	unreviewed	5.0	FUNCTION: Scaffold protein that connects plasma membrane proteins with members of the ezrin/moesin/radixin family and thereby helps to link them to the actin cytoskeleton and to regulate their surface expression. {ECO:0000256|PIRNR:PIRNR037866}.				RWIC01000005;	ENSMMNT00015032827.1;				IPR015098;IPR031199;IPR017300;IPR001478;IPR036034;	
A0A4V5PBT5	A0A4V5PBT5_MONMO	FZD4 EI555_008084	Frizzled-4	Monodon monoceros (Narwhal) (Ceratodon monodon)	537	unreviewed	5.0					RWIC01000101;	ENSMMNT00015021915.1;				IPR015526;IPR000539;IPR020067;IPR036790;IPR041765;IPR026551;IPR017981;	
A0A2Y9EGM3	A0A2Y9EGM3_PHYMC	MKKS	McKusick-Kaufman/Bardet-Biedl syndromes putative chaperonin	Physeter macrocephalus (Sperm whale) (Physeter catodon)	570	unreviewed	4.0			XP_007101564.2;	pcad:102974739;		ENSPCTT00005010551;				IPR002423;IPR027409;IPR027413;IPR028790;IPR027410;	
A0A2Y9EKC6	A0A2Y9EKC6_PHYMC	SLC1A3	Amino acid transporter	Physeter macrocephalus (Sperm whale) (Physeter catodon)	542	unreviewed	4.0		102975511;	XP_007103278.1;	pcad:102975511;		ENSPCTT00005022609;				IPR001991;IPR018107;IPR036458;	
A0A2Y9EMB7	A0A2Y9EMB7_PHYMC	COL2A1	collagen alpha-1(II) chain isoform X1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1487	unreviewed	4.0		102984074;	XP_007104431.1;	pcad:102984074;		ENSPCTT00005019154;				IPR008160;IPR000885;IPR001007;	
A0A2Y9F0I7	A0A2Y9F0I7_PHYMC	POU4F2	POU domain protein	Physeter macrocephalus (Sperm whale) (Physeter catodon)	408	unreviewed	4.0		102983073;	XP_007111578.1;	pcad:102983073;		ENSPCTT00005003086;				IPR001387;IPR009057;IPR017970;IPR001356;IPR010982;IPR013847;IPR000327;	
A0A2Y9FR60	A0A2Y9FR60_PHYMC	ATP6V1B1	Vacuolar proton pump subunit B, V-ATPase subunit B (Vacuolar proton pump subunit B)	Physeter macrocephalus (Sperm whale) (Physeter catodon)	513	unreviewed	4.0	FUNCTION: Non-catalytic subunit of the V1 complex of vacuolar(H+)-ATPase (V-ATPase), a multisubunit enzyme composed of a peripheral complex (V1) that hydrolyzes ATP and a membrane integral complex (V0) that translocates protons. V-ATPase is responsible for acidifying and maintaining the pH of intracellular compartments and in some cell types, is targeted to the plasma membrane, where it is responsible for acidifying the extracellular environment. {ECO:0000256|RuleBase:RU366021}.	102995815;	XP_007128995.1;	pcad:102995815;		ENSPCTT00005006613;				IPR020003;IPR004100;IPR000194;IPR005723;IPR027417;IPR022879;	
A0A2Y9P4D5	A0A2Y9P4D5_DELLE	ATP8B1	Phospholipid-transporting ATPase, EC 7.6.2.1	Delphinapterus leucas (Beluga whale)	1251	unreviewed	4.0			XP_022440111.1;XP_030617886.1;	dle:111180232;		ENSDLET00000005880;				IPR030346;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;IPR044492;	
A0A2Y9PDK2	A0A2Y9PDK2_DELLE	SPTBN4	Spectrin beta chain	Delphinapterus leucas (Beluga whale)	2559	unreviewed	4.0			XP_022441332.1;			ENSDLET00000017091;				IPR001589;IPR001715;IPR036872;IPR011993;IPR041681;IPR001605;IPR001849;IPR018159;IPR016343;IPR002017;	
A0A2Y9QJ14	A0A2Y9QJ14_DELLE	POU4F2	POU domain protein	Delphinapterus leucas (Beluga whale)	407	unreviewed	4.0			XP_022455398.1;	dle:111187744;		ENSDLET00000024015;				IPR001387;IPR009057;IPR017970;IPR001356;IPR010982;IPR013847;IPR000327;	
A0A2Y9TB03	A0A2Y9TB03_PHYMC	ATP8B1	Phospholipid-transporting ATPase, EC 7.6.2.1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1251	unreviewed	4.0			XP_023988076.1;XP_028336363.1;	pcad:102995646;		ENSPCTT00005009624;				IPR030346;IPR023299;IPR018303;IPR023298;IPR008250;IPR036412;IPR023214;IPR006539;IPR032631;IPR001757;IPR032630;IPR044492;	
A0A4U1EKH5	A0A4U1EKH5_MONMO	ATP6V1B1 EI555_016659	Vacuolar proton pump subunit B, V-ATPase subunit B (Vacuolar proton pump subunit B)	Monodon monoceros (Narwhal) (Ceratodon monodon)	513	unreviewed	4.0	FUNCTION: Non-catalytic subunit of the V1 complex of vacuolar(H+)-ATPase (V-ATPase), a multisubunit enzyme composed of a peripheral complex (V1) that hydrolyzes ATP and a membrane integral complex (V0) that translocates protons. V-ATPase is responsible for acidifying and maintaining the pH of intracellular compartments and in some cell types, is targeted to the plasma membrane, where it is responsible for acidifying the extracellular environment. {ECO:0000256|RuleBase:RU366021}.				RWIC01001229;	ENSMMNT00015021470.1;				IPR020003;IPR004100;IPR000194;IPR005723;IPR027417;IPR022879;	
A0A4U1F9E5	A0A4U1F9E5_MONMO	POU4F2 EI555_012471	POU domain protein	Monodon monoceros (Narwhal) (Ceratodon monodon)	408	unreviewed	4.0					RWIC01000285;	ENSMMNT00015025514.1;				IPR001387;IPR009057;IPR017970;IPR001356;IPR010982;IPR013847;IPR000327;	
A0A2U3V2Q4	A0A2U3V2Q4_TURTR	SCARB2	lysosome membrane protein 2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	478	unreviewed	3.0		101337785;	XP_004316688.1;			ENSTTRT00000014387;				IPR002159;IPR005429;	
A0A2U4A3Z7	A0A2U4A3Z7_TURTR	ROR1	inactive tyrosine-protein kinase transmembrane receptor ROR1	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	937	unreviewed	3.0		101329716;	XP_019775707.1;			ENSTTRT00000014160;				IPR020067;IPR036790;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR011009;IPR000001;IPR013806;IPR018056;IPR038178;IPR000719;IPR001245;IPR008266;IPR016247;	
A0A2U4AV93	A0A2U4AV93_TURTR	MYO6	Unconventional myosin-VI (Unconventional myosin-6)	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	1253	unreviewed	3.0		101321027;	XP_019784882.1;							IPR036961;IPR032412;IPR001609;IPR004009;IPR008989;IPR036114;IPR027417;	
A0A2U4AVB3	A0A2U4AVB3_TURTR	MYO6	Unconventional myosin-VI (Unconventional myosin-6)	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	1262	unreviewed	3.0		101321027;	XP_019784881.1;							IPR036961;IPR032412;IPR001609;IPR004009;IPR008989;IPR036114;IPR027417;	
A0A2U4C5L7	A0A2U4C5L7_TURTR	RIPOR2	Rho family-interacting cell polarization regulator 2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	1015	unreviewed	3.0		101328094;	XP_019800739.1;XP_019800742.1;XP_019800742.1;							IPR011989;IPR016024;IPR031780;IPR033035;IPR026136;	
A0A2U4C5M1	A0A2U4C5M1_TURTR	RIPOR2	Rho family-interacting cell polarization regulator 2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	753	unreviewed	3.0			XP_019800744.2;							IPR031780;IPR033035;IPR026136;	
A0A2U4C5M4	A0A2U4C5M4_TURTR	RIPOR2	Rho family-interacting cell polarization regulator 2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	1049	unreviewed	3.0		101328094;	XP_019800740.1;							IPR011989;IPR016024;IPR031780;IPR033035;IPR026136;	
A0A2U4C5M7	A0A2U4C5M7_TURTR	RIPOR2	Rho family-interacting cell polarization regulator 2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	609	unreviewed	3.0			XP_019800745.2;							IPR031780;IPR033035;IPR026136;	
A0A2U4C5U2	A0A2U4C5U2_TURTR	RIPOR2	Rho family-interacting cell polarization regulator 2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	1044	unreviewed	3.0		101328094;	XP_019800741.1;							IPR011989;IPR016024;IPR031780;IPR033035;IPR026136;	
A0A2U4C5U7	A0A2U4C5U7_TURTR	RIPOR2	Rho family-interacting cell polarization regulator 2	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	643	unreviewed	3.0		101328094;	XP_019800746.1;							IPR031780;IPR033035;IPR026136;	
A0A2U4CNG7	A0A2U4CNG7_TURTR	EYA4	Eyes absent homolog, EC 3.1.3.48	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	639	unreviewed	3.0		101321639;	XP_019806992.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2U4CNH1	A0A2U4CNH1_TURTR	EYA4	Eyes absent homolog, EC 3.1.3.48	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	639	unreviewed	3.0		101321639;	XP_019806994.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2U4CNH2	A0A2U4CNH2_TURTR	EYA4	Eyes absent homolog, EC 3.1.3.48	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	478	unreviewed	3.0		101321639;	XP_019806998.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2U4CNH3	A0A2U4CNH3_TURTR	EYA4	Eyes absent homolog, EC 3.1.3.48	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	570	unreviewed	3.0		101321639;	XP_019806997.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2U4CNI0	A0A2U4CNI0_TURTR	EYA4	Eyes absent homolog, EC 3.1.3.48	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	645	unreviewed	3.0		101321639;	XP_019806991.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2U4CNI4	A0A2U4CNI4_TURTR	EYA4	Eyes absent homolog, EC 3.1.3.48	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	585	unreviewed	3.0		101321639;	XP_019806996.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2U4CNP4	A0A2U4CNP4_TURTR	EYA4	Eyes absent homolog, EC 3.1.3.48	Tursiops truncatus (Atlantic bottle-nosed dolphin) (Delphinus truncatus)	616	unreviewed	3.0		101321639;	XP_019806995.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2Y9EDJ2	A0A2Y9EDJ2_PHYMC	USH1G	Usher syndrome type-1G protein	Physeter macrocephalus (Sperm whale) (Physeter catodon)	461	unreviewed	3.0	FUNCTION: Plays a central role during spermatogenesis by repressing transposable elements and preventing their mobilization, which is essential for the germline integrity. Acts via the piRNA metabolic process, which mediates the repression of transposable elements during meiosis by forming complexes composed of piRNAs and Piwi proteins and governs the methylation and subsequent repression of transposons. Its association with pi-bodies suggests a participation in the primary piRNAs metabolic process. Required prior to the pachytene stage to facilitate the production of multiple types of piRNAs, including those associated with repeats involved in the regulation of retrotransposons. May act by mediating protein-protein interactions during germ cell maturation. {ECO:0000256|ARBA:ARBA00025297}.	102976076;	XP_007099777.1;	pcad:102976076;		ENSPCTT00005025905;				IPR002110;IPR036770;IPR001660;IPR013761;IPR037602;	
A0A2Y9EHE9	A0A2Y9EHE9_PHYMC	ASIC2	acid-sensing ion channel 2 isoform X1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	564	unreviewed	3.0			XP_007102039.2;	pcad:102977582;		ENSPCTT00005019366;				IPR001873;IPR004724;IPR020903;	
A0A2Y9EQ14	A0A2Y9EQ14_PHYMC	SNAI2	zinc finger protein SNAI2	Physeter macrocephalus (Sperm whale) (Physeter catodon)	268	unreviewed	3.0			XP_007106167.2;	pcad:102985879;		ENSPCTT00005017543;				IPR036236;IPR013087;	
A0A2Y9F4W4	A0A2Y9F4W4_PHYMC	CLRN1	clarin-1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	232	unreviewed	3.0		102981959;	XP_007114676.1;	pcad:102981959;		ENSPCTT00005000084;				IPR026748;	
A0A2Y9F6W2	A0A2Y9F6W2_PHYMC	RIPOR2	Rho family-interacting cell polarization regulator 2	Physeter macrocephalus (Sperm whale) (Physeter catodon)	608	unreviewed	3.0		102995939;	XP_007116295.1;							IPR031780;IPR033035;IPR026136;	
A0A2Y9F6X3	A0A2Y9F6X3_PHYMC	RIPOR2	Rho family-interacting cell polarization regulator 2	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1014	unreviewed	3.0		102995939;	XP_007116293.1;	pcad:102995939;						IPR011989;IPR016024;IPR031780;IPR033035;IPR026136;	
A0A2Y9F722	A0A2Y9F722_PHYMC	PGAP1	GPI inositol-deacylase, EC 3.1.-.-	Physeter macrocephalus (Sperm whale) (Physeter catodon)	922	unreviewed	3.0	FUNCTION: Involved in inositol deacylation of GPI-anchored proteins. GPI inositol deacylation may important for efficient transport of GPI-anchored proteins from the endoplasmic reticulum to the Golgi. {ECO:0000256|RuleBase:RU365011}.	102979436;	XP_007116393.1;	pcad:102979436;		ENSPCTT00005000515;				IPR029058;IPR012908;IPR039529;	
A0A2Y9FB64	A0A2Y9FB64_PHYMC	ATP6V0A4	V-type proton ATPase subunit a	Physeter macrocephalus (Sperm whale) (Physeter catodon)	840	unreviewed	3.0	FUNCTION: Essential component of the vacuolar proton pump (V-ATPase), a multimeric enzyme that catalyzes the translocation of protons across the membranes. Required for assembly and activity of the V-ATPase. {ECO:0000256|RuleBase:RU361189}.	102975289;	XP_007118876.1;	pcad:102975289;		ENSPCTT00005004187;				IPR002490;IPR026028;	
A0A2Y9FDR1	A0A2Y9FDR1_PHYMC	CRYM	Ketimine reductase mu-crystallin, EC 1.5.1.25 (NADP-regulated thyroid-hormone-binding protein)	Physeter macrocephalus (Sperm whale) (Physeter catodon)	314	unreviewed	3.0		102996229;	XP_007120615.1;	pcad:102996229;		ENSPCTT00005008695;				IPR036291;IPR003462;IPR023401;	
A0A2Y9FJR3	A0A2Y9FJR3_PHYMC	SCARB2	lysosome membrane protein 2 isoform X1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	478	unreviewed	3.0		102980049;	XP_007125111.1;	pcad:102980049;		ENSPCTT00005008244;				IPR002159;IPR005429;	
A0A2Y9FQF2	A0A2Y9FQF2_PHYMC	COL1A1	collagen alpha-1(I) chain	Physeter macrocephalus (Sperm whale) (Physeter catodon)	1463	unreviewed	3.0		102984195;	XP_007128607.1;	pcad:102984195;		ENSPCTT00005031214;				IPR008160;IPR000885;IPR001007;	
A0A2Y9FS02	A0A2Y9FS02_PHYMC	ROR1	inactive tyrosine-protein kinase transmembrane receptor ROR1	Physeter macrocephalus (Sperm whale) (Physeter catodon)	937	unreviewed	3.0			XP_007127983.2;	pcad:102992029;		ENSPCTT00005035096;				IPR020067;IPR036790;IPR007110;IPR036179;IPR013783;IPR013098;IPR003599;IPR003598;IPR011009;IPR000001;IPR013806;IPR018056;IPR038178;IPR000719;IPR001245;IPR008266;IPR016247;	
A0A2Y9LLR3	A0A2Y9LLR3_DELLE	THRB	thyroid hormone receptor beta isoform X1	Delphinapterus leucas (Beluga whale)	461	unreviewed	3.0			XP_022410368.1;XP_022410369.1;XP_022410370.1;XP_022410371.1;XP_022410372.1;XP_022410373.1;XP_022410374.1;XP_022410375.1;XP_022410377.1;XP_022410378.1;XP_022410379.1;XP_022410380.1;XP_022410381.1;XP_022410382.1;	dle:111164774;		ENSDLET00000012992;				IPR035500;IPR000536;IPR001723;IPR001728;IPR001628;IPR013088;	
A0A2Y9LSQ7	A0A2Y9LSQ7_DELLE	SLC26A5	Prestin (Solute carrier family 26 member 5)	Delphinapterus leucas (Beluga whale)	741	unreviewed	3.0	FUNCTION: Motor protein that converts auditory stimuli to length changes in outer hair cells and mediates sound amplification in the mammalian hearing organ. {ECO:0000256|RuleBase:RU362052}.		XP_022410127.1;	dle:111164632;		ENSDLET00000006862;				IPR030282;IPR018045;IPR011547;IPR001902;IPR002645;IPR036513;	
A0A2Y9LT01	A0A2Y9LT01_DELLE	TJP1	tight junction protein ZO-1 isoform X4	Delphinapterus leucas (Beluga whale)	1874	unreviewed	3.0			XP_022410217.1;			ENSDLET00000031110;				IPR008145;IPR008144;IPR027417;IPR001478;IPR036034;IPR036028;IPR001452;IPR005417;IPR005418;IPR035597;IPR000906;	
A0A2Y9LTK1	A0A2Y9LTK1_DELLE	EYA4	Eyes absent homolog, EC 3.1.3.48	Delphinapterus leucas (Beluga whale)	607	unreviewed	3.0			XP_022412690.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2Y9LV81	A0A2Y9LV81_DELLE	EYA4	Eyes absent homolog, EC 3.1.3.48	Delphinapterus leucas (Beluga whale)	622	unreviewed	3.0			XP_022412656.1;	dle:111165901;		ENSDLET00000026198;				IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2Y9LV85	A0A2Y9LV85_DELLE	EYA4	Eyes absent homolog, EC 3.1.3.48	Delphinapterus leucas (Beluga whale)	622	unreviewed	3.0			XP_022412661.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2Y9LVA4	A0A2Y9LVA4_DELLE	EYA4	Eyes absent homolog, EC 3.1.3.48	Delphinapterus leucas (Beluga whale)	616	unreviewed	3.0			XP_022412681.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2Y9LVC0	A0A2Y9LVC0_DELLE	EYA4	Eyes absent homolog, EC 3.1.3.48	Delphinapterus leucas (Beluga whale)	523	unreviewed	3.0			XP_022412696.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2Y9LYC4	A0A2Y9LYC4_DELLE	HOMER2	homer protein homolog 2 isoform X1	Delphinapterus leucas (Beluga whale)	343	unreviewed	3.0			XP_022410207.1;XP_022410208.1;	dle:111164681;		ENSDLET00000010974;ENSDLET00000010979;				IPR045027;IPR044100;IPR011993;IPR000697;	
A0A2Y9M066	A0A2Y9M066_DELLE	EYA4	Eyes absent homolog, EC 3.1.3.48	Delphinapterus leucas (Beluga whale)	616	unreviewed	3.0			XP_022412672.1;							IPR028478;IPR006545;IPR042577;IPR038102;IPR028472;	
A0A2Y9M788	A0A2Y9M788_DELLE	CDKN2D	cyclin-dependent kinase 4 inhibitor D	Delphinapterus leucas (Beluga whale)	166	unreviewed	3.0			XP_022413243.1;	dle:111166161;		ENSDLET00000011992;				IPR002110;IPR036770;	
A0A2Y9M7B6	A0A2Y9M7B6_DELLE	RIPOR2	Rho family-interacting cell polarization regulator 2	Delphinapterus leucas (Beluga whale)	1048	unreviewed	3.0			XP_022418054.1;							IPR011989;IPR016024;IPR031780;IPR033035;IPR026136;	
